Author1,Author2,Weight
Eric Xing,Le Song,3
Russ Salakhutdinov,Josh Tenenbaum,3
Bernhard Schölkopf,Alex Smola,3
Le Song,Eric Xing,3
David Silver,Doina Precup,3
Antonio Torralba,Russ Salakhutdinov,3
Pradeep Ravikumar,Ambuj Tewari,3
Geoffrey E Hinton,Russ Salakhutdinov,3
David Silver,Oriol Vinyals,3
Josh Tenenbaum,Russ Salakhutdinov,3
Josh Tenenbaum,Pushmeet Kohli,3
Remi Munos,Csaba Szepesvari,3
Remi Munos,Alessandro Lazaric,3
Stefano Ermon,Chelsea Finn,2
Alekh Agarwal,John Duchi,2
Michael Jordan,Le Song,2
Mohammad Norouzi,Quoc V Le,2
Han Liu,Quanquan Gu,2
Stefano Ermon,Tengyu Ma,2
Anima Anandkumar,Zhangyang Wang,2
Mohammad Norouzi,Nicolas Heess,2
Roger Grosse,Russ Salakhutdinov,2
Roger Grosse,Richard Zemel,2
Ambuj Tewari,Nati Srebro,2
Alex Schwing,Richard Zemel,2
Yee Whye Teh,Jun Zhu,2
Ping Li,Tong Zhang,2
Quanquan Gu,Han Liu,2
Quanquan Gu,Zhaoran Wang,2
Nicolas Heess,Remi Munos,2
Volkan Cevher,Andreas Krause,2
Quanquan Gu,Tong Zhang,2
Michael Jordan,Percy Liang,2
Zoubin Ghahramani,Sergey Levine,2
Max Welling,Richard Zemel,2
Ambuj Tewari,Peter Bartlett,2
Stefanie Jegelka,Antonio Torralba,2
Russ Salakhutdinov,Roger Grosse,2
Jun Zhu,Yee Whye Teh,2
Nicolas Heess,Mohammad Norouzi,2
Sergey Levine,Russ Salakhutdinov,2
Suvrit Sra,Alex Smola,2
Remi Munos,Nicolas Heess,2
Bo Dai,Csaba Szepesvari,2
Sergey Levine,Zoubin Ghahramani,2
Remi Munos,Mohammad Ghavamzadeh,2
Alex Smola,Suvrit Sra,2
Tengyu Ma,Chelsea Finn,2
Alex Smola,Eric Xing,2
Andreas Krause,Volkan Cevher,2
Razvan Pascanu,Yee Whye Teh,2
Russ Salakhutdinov,Sergey Levine,2
Peter Bartlett,Ambuj Tewari,2
Chelsea Finn,Stefano Ermon,2
Chelsea Finn,Tengyu Ma,2
Peter Bartlett,Csaba Szepesvari,2
Russ Salakhutdinov,Yoshua Bengio,2
Simon Du,Akshay Krishnamurthy,2
John Duchi,Alekh Agarwal,2
Simon Du,Michael Jordan,2
Tengyu Ma,Stefano Ermon,2
Oriol Vinyals,Quoc V Le,2
Yee Whye Teh,Razvan Pascanu,2
Yoshua Bengio,Russ Salakhutdinov,2
Russ Salakhutdinov,Quoc V Le,2
Nicolas Heess,Doina Precup,2
Jun Zhu,Le Song,2
Michael Jordan,Simon Du,2
Yee Whye Teh,Max Welling,2
Tong Zhang,Ping Li,2
Richard Zemel,Max Welling,2
Zhangyang Wang,Anima Anandkumar,2
Doina Precup,Nicolas Heess,2
Alex Dimakis,Inderjit Dhillon,2
Tong Zhang,Quanquan Gu,2
Honglak Lee,Quoc V Le,2
Mingyuan Zhou,Lawrence Carin,2
Mohammad Ghavamzadeh,Remi Munos,2
Quoc V Le,Russ Salakhutdinov,2
Richard Zemel,Alex Schwing,2
Richard Zemel,Roger Grosse,2
Lawrence Carin,Mingyuan Zhou,2
Quoc V Le,Honglak Lee,2
Akshay Krishnamurthy,Simon Du,2
Eric Xing,Pradeep Ravikumar,2
Le Song,Jun Zhu,2
Nati Srebro,Ambuj Tewari,2
Eric Xing,Alex Smola,2
Inderjit Dhillon,Alex Dimakis,2
Quoc V Le,Mohammad Norouzi,2
Quoc V Le,Oriol Vinyals,2
Le Song,Michael Jordan,2
Csaba Szepesvari,Bo Dai,2
Csaba Szepesvari,Peter Bartlett,2
Max Welling,Yee Whye Teh,2
Zhaoran Wang,Quanquan Gu,2
Pradeep Ravikumar,Eric Xing,2
Percy Liang,Michael Jordan,2
Antonio Torralba,Stefanie Jegelka,2
Raquel Urtasun,Roger Grosse,1
Chelsea Finn,Russ Salakhutdinov,1
Matthias Bethge,Richard Zemel,1
Jason Lee,Zhuoran Yang,1
Jure Leskovec,Stefanie Jegelka,1
Tengyu Ma,Elad Hazan,1
David Silver,Razvan Pascanu,1
Suvrit Sra,Volkan Cevher,1
Matthias Bethge,Jascha Sohl-Dickstein,1
Jason Lee,Zhaoran Wang,1
Shimon Whiteson,Pushmeet Kohli,1
Alekh Agarwal,Bernhard Schölkopf,1
Alekh Agarwal,Stefano Ermon,1
Massimiliano Pontil,Arthur Gretton,1
Doina Precup,Remi Munos,1
Doina Precup,Csaba Szepesvari,1
Massimiliano Pontil,Alessandro Lazaric,1
Jason Lee,Qiang Liu,1
Jason Lee,Cho-Jui Hsieh,1
Mingyuan Zhou,David Blei,1
Shimon Whiteson,Eric Xing,1
Tengyu Ma,Qiang Liu,1
Bo Dai,Zhuoran Yang,1
David Silver,Csaba Szepesvari,1
Geoffrey E Hinton,Nicolas Heess,1
Geoffrey E Hinton,Richard Zemel,1
Antonio Torralba,Raquel Urtasun,1
Mingyuan Zhou,Masashi Sugiyama,1
Geoffrey E Hinton,Yee Whye Teh,1
Alekh Agarwal,Peter Bartlett,1
Ohad Shamir,Russ Salakhutdinov,1
Jason Lee,Caiming Xiong,1
Alekh Agarwal,Simon Du,1
Caiming Xiong,Jason Lee,1
Jason Lee,Alex Dimakis,1
Antonio Torralba,Anima Anandkumar,1
Jascha Sohl-Dickstein,Matthias Bethge,1
Bo Dai,Zhaoran Wang,1
Bo Dai,Arthur Gretton,1
Bo Dai,Alex Smola,1
Jason Lee,Sewoong Oh,1
Bo Dai,Sanjiv Kumar,1
Alekh Agarwal,Andreas Krause,1
Alekh Agarwal,Pradeep Ravikumar,1
Zhuoran Yang,Tong Zhang,1
Anima Anandkumar,Antonio Torralba,1
Zhuoran Yang,Bo Dai,1
Alex Dimakis,Pradeep Ravikumar,1
Mohammad Norouzi,Pushmeet Kohli,1
Amin Karbasi,Alex Dimakis,1
Anima Anandkumar,Alex Smola,1
Geoffrey E Hinton,Mohammad Norouzi,1
Quoc V Le,Sergey Levine,1
Mohammad Ghavamzadeh,Stefano Ermon,1
Mohammad Norouzi,Roger Grosse,1
Ohad Shamir,Shie Mannor,1
Mohammad Norouzi,Geoffrey E Hinton,1
Michal Valko,Peter Bartlett,1
Raquel Urtasun,Antonio Torralba,1
Jascha Sohl-Dickstein,Yoshua Bengio,1
Jascha Sohl-Dickstein,Stefano Ermon,1
Akshay Krishnamurthy,Alex Smola,1
Zhuoran Yang,Michael Jordan,1
Jascha Sohl-Dickstein,Dale Schuurmans,1
Mohammad Norouzi,Russ Salakhutdinov,1
Zhuoran Yang,Jason Lee,1
Antonio Torralba,Pushmeet Kohli,1
Mingyuan Zhou,Gang Niu,1
Gang Niu,Mingyuan Zhou,1
Antonio Torralba,Richard Zemel,1
Matthias Hein,Ping Li,1
Zhi-Hua Zhou,Tie-Yan Liu,1
Jason Lee,Tong Zhang,1
Alex Dimakis,Amin Karbasi,1
Tengyu Ma,Sergey Levine,1
Anima Anandkumar,Le Song,1
Alex Dimakis,Jason Lee,1
Mohammad Norouzi,Sergey Levine,1
Anima Anandkumar,Tong Zhang,1
Roger Grosse,Raquel Urtasun,1
Raquel Urtasun,Russ Salakhutdinov,1
John Langford,Simon Du,1
John Langford,Alex Smola,1
Roger Grosse,Mohammad Norouzi,1
Alex Dimakis,Sanjiv Kumar,1
Eunho Yang,Yee Whye Teh,1
Sewoong Oh,Jason Lee,1
Arthur Gretton,Dale Schuurmans,1
Suvrit Sra,Francis Bach,1
Sung Ju Hwang,Yee Whye Teh,1
Tong Zhang,Jun Zhu,1
Tong Zhang,Le Song,1
Bernhard Schölkopf,Alekh Agarwal,1
Bernhard Schölkopf,Zoubin Ghahramani,1
Bernhard Schölkopf,Andreas Krause,1
Bernhard Schölkopf,Le Song,1
Bernhard Schölkopf,Sergey Levine,1
Yee Whye Teh,Eunho Yang,1
Yee Whye Teh,Geoffrey E Hinton,1
Yee Whye Teh,Sung Ju Hwang,1
Yee Whye Teh,Oriol Vinyals,1
Yee Whye Teh,Zoubin Ghahramani,1
Yee Whye Teh,Tong Zhang,1
Stefano Ermon,Jascha Sohl-Dickstein,1
Stefano Ermon,Mohammad Ghavamzadeh,1
Stefano Ermon,Alekh Agarwal,1
Stefano Ermon,Jun Zhu,1
Stefano Ermon,Sergey Levine,1
Jun Zhu,Max Welling,1
Tong Zhang,Yee Whye Teh,1
Tong Zhang,Nati Srebro,1
Tong Zhang,Zhuoran Yang,1
Csaba Szepesvari,David Silver,1
Mehryar Mohri,Sanjiv Kumar,1
Cho-Jui Hsieh,Jason Lee,1
Nati Srebro,Elad Hazan,1
Nati Srebro,Tong Zhang,1
Prateek Jain,Peter Bartlett,1
Inderjit Dhillon,Peter Bartlett,1
Tie-Yan Liu,Zhi-Hua Zhou,1
Csaba Szepesvari,Doina Precup,1
Csaba Szepesvari,Nicolas Heess,1
Tong Zhang,Jason Lee,1
Csaba Szepesvari,Shie Mannor,1
Csaba Szepesvari,Pushmeet Kohli,1
Max Welling,Jun Zhu,1
Eric Xing,Shimon Whiteson,1
Eric Xing,David Blei,1
Eric Xing,Lawrence Carin,1
Eric Xing,Michael Jordan,1
Tong Zhang,Anima Anandkumar,1
Jun Zhu,Tong Zhang,1
Jun Zhu,Stefano Ermon,1
Russ Salakhutdinov,Ohad Shamir,1
Michael Jordan,Zhaoran Wang,1
Francis Bach,Michael Jordan,1
Masashi Sugiyama,Mingyuan Zhou,1
Lawrence Carin,Volkan Cevher,1
