Conference,Year,Title,Author,Affiliation
NeurIPS,2006,Generalized Maximum Margin Clustering and Unsupervised Kernel Learning,"['Hamed Valizadegan', 'Rong Jin']","['Michigan State University', 'Michigan State University (MSU)']"
NeurIPS,2006,Multi-Robot Negotiation: Approximating the Set of Subgame Perfect Equilibria in General Sum Stochastic Games,"['Chris D Murray', 'Geoffrey Gordon']","['Carnegie Mellon University', 'MSR Montréal & CMU']"
NeurIPS,2006,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural P,"['Amit Gore', 'Shantanu Chakrabartty']","['None', 'The Johns Hopkins University']"
NeurIPS,2006,Learning to Traverse Image Manifolds,"['Piotr Dollar', 'Vincent Rabaud', 'Serge Belongie']","['Facebook AI Research', 'None', 'Cornell University']"
NeurIPS,2006,Learning on Graph with Laplacian Regularization,"['Rie Ando', 'Tong Zhang']","['None', 'Tencent']"
NeurIPS,2006,Stability of $K$-Means Clustering,"['Sasha Rakhlin', 'Andrea Caponnetto']","['University of Pennsylvania', 'None']"
NeurIPS,2006,Learning Nonparametric Models for Probabilistic Imitation,"['David Grimes', 'Daniel Rashid', 'Rajesh PN Rao']","['University of Washington', 'None', 'University of Washington']"
NeurIPS,2006,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,"['Daniel Navarro', 'Tom Griffiths']","['University of Adelaide', 'Princeton']"
NeurIPS,2006,A Probabilistic Algorithm Integrating Source Localization and Noise Suppression for MEG and EEG data,"['Johanna M Zumer', 'Hagai Attias', 'Kensuke Sekihara', 'Srikantan Nagarajan']","['Uni. of Nottingham', 'Microsoft Research', 'None', 'None']"
NeurIPS,2006,Optimal Change-Detection and Spiking Neurons,['Angela Yu'],['UC San Diego']
NeurIPS,2006,Learning to parse images of articulated bodies,['Deva Ramanan'],['Toyota Technological Institute at Chicago']
NeurIPS,2006,Similarity by Composition,"['Oren Boiman', 'Michal Irani']","['Weizmann Institute of Science', 'Weizmann Institute of Science']"
NeurIPS,2006,Distributed Inference in Dynamical Systems,"['Stanislav Funiak', 'Carlos Guestrin', 'Mark A Paskin', 'Rahul Sukthankar']","['Facebook', 'University of Washington', 'Stanford University', 'Intel Labs and CMU']"
NeurIPS,2006,Balanced Graph Matching,"['Timothee Cour', 'Praveen Srinivasan', 'Jianbo Shi']","['NEC Labs America', 'Microsoft', 'University of Pennsylvania']"
NeurIPS,2006,Parameter Expanded Variational Bayesian Methods,"['Yuan (Alan) Qi', 'Tommi Jaakkola']","['M.I.T.', 'MIT']"
NeurIPS,2006,Graph Regularization for Maximum Variance Unfolding with an Application to Sensor Localization,"['Kilian Q Weinberger', 'Fei Sha', 'Qihui Zhu', 'Lawrence Saul']","['Washington University in St. Louis', 'University of Southern California (USC)', 'University of Pennsylvania', 'UC San Diego']"
NeurIPS,2006,Image Retrieval and Classification Using Local Distance Functions,"['Andrea Frome', 'Yoram Singer', 'Jitendra Malik']","['UC Berkeley', 'Princeton', 'UC Berkeley']"
NeurIPS,2006,Convergence of Laplacian Eigenmaps,"['Mikhail Belkin', 'Partha Niyogi']","['Ohio State University', 'University of Chicago']"
NeurIPS,2006,AdaBoost is Consistent,"['Peter Bartlett', 'Mikhail Traskin']","['UC Berkeley', 'UC Berkeley']"
NeurIPS,2006,An Information Theoretic Framework for Eukaryotic Gradient Sensing,"['Joseph Kimmel', 'Richard Salter', 'Peter Thomas']","['None', 'None', 'Case Western Reserve University']"
NeurIPS,2006,Gaussian and Wishart Hyperkernels,"['Risi Kondor', 'Tony Jebara']","['The University of Chicago', 'Spotify']"
NeurIPS,2006,A Nonparametric Approach to Bottom-Up Visual Saliency,"['Wolf Kienzle', 'Felix A Wichmann', 'Bernhard Schölkopf', 'Matthias Franz']","['Max Planck Institute for Biological Cybernetics', 'Max Planck Institute for Biological Cybernetics', 'MPI for Intelligent Systems, Tübingen', 'MPI for Biological Cybernetics']"
NeurIPS,2006,Attribute-efficient learning of linear threshold functions under unconcentrated distributions,"['Phil Long', 'Rocco A Servedio']","['NEC Labs', 'Columbia University']"
NeurIPS,2006,Recursive Attribute Factoring,"['David Cohn', 'Deepak Verma', 'Karl Pfleger']","['Google, Inc', 'University of Washington', 'Google']"
NeurIPS,2006,Linearly-solvable Markov decision problems,['Emanuel Todorov'],['University of California San Diego']
NeurIPS,2006,Detecting Humans via Their Pose,"['Alessandro Bissacco', 'Ming-Hsuan Yang', 'Stefano Soatto']","['UCLA', 'Honda Research Institute', 'UCLA']"
NeurIPS,2006,"iLSTD: Convergence, Eligibility Traces, and Mountain Car","['Alborz Geramifard', 'Michael Bowling', 'Martin A Zinkevich', 'Rich Sutton']","['Facebook AI', 'DeepMind / University of Alberta', 'Yahoo! Inc.', 'DeepMind, U Alberta']"
NeurIPS,2006,Large Margin Component Analysis,"['Lorenzo Torresani', 'Kuang-chih Lee']","['Riya, Inc.', 'Alibaba Inc.']"
NeurIPS,2006,Multi-dynamic Bayesian Networks,"['Karim Filali', 'Jeff A Bilmes']","['Yahoo! Inc.', 'University of Washington, Seattle']"
NeurIPS,2006,Estimating Observation Functions in Dynamical Systems Using Unsupervised Regression,"['ali rahimi', 'Benjamin Recht']","['Intel', 'California Institute of Technology']"
NeurIPS,2006,Automated Hierarchy Discovery for Planning in Partially Observable Domains,"['Laurent Charlin', 'Pascal Poupart', 'Romy Shioda']","['McGill University', 'University of Waterloo', 'None']"
NeurIPS,2006,Temporal Coding using the Response Properties of Spiking Neurons,['Thomas Voegtlin'],['INRIA']
NeurIPS,2006,Inferring Graphical Model Structure using $\ell_1$-Regularized Pseudo-Likelihood,"['Martin J Wainwright', 'Pradeep Ravikumar', 'John Lafferty']","['UC Berkeley', 'Carnegie Mellon University', 'Yale University']"
NeurIPS,2006,Analysis of Representations for Domain Adaptation,"['John Blitzer', 'Shai Ben-David', 'Yacov Crammer', 'Fernando Pereira']","['Google', 'University of Waterloo', 'Technion', 'Google']"
NeurIPS,2006,A Kernel Subspace Method by Stochastic Realization for Learning Nonlinear Dynamical Systems,"['Yoshinobu Kawahara', 'Takehisa Yairi', 'Kazuo Machida']","['Osaka University / RIKEN', 'None', 'None']"
NeurIPS,2006,Tighter PAC-Bayes Bounds,"['Amiran Ambroladze', 'Emilio Parrado-Hernandez', 'John Shawe-Taylor']","['None', 'University Carlos III de Madrid', 'UCL']"
NeurIPS,2006,Mixture Regression for Covariate Shift,"['Amos Storkey', 'Masashi Sugiyama']","['University of Edinburgh', 'RIKEN / University of Tokyo']"
NeurIPS,2006,Learning Motion Style Synthesis from Perceptual Observations,"['Lorenzo Torresani', 'Peggy Hackney', 'Christoph Bregler']","['Riya, Inc.', 'None', 'New York University']"
NeurIPS,2006,The Neurodynamics of Belief Propagation on Binary Markov Random Fields,"['Thomas Ott', 'Ruedi Stoop']","['ETH Zurich', 'None']"
NeurIPS,2006,A Switched Gaussian Process for Estimating Disparity and Segmentation in Binocular St,['Oliver Williams'],['Microsoft Research']
NeurIPS,2006,Dirichlet-Enhanced Spam Filtering based on Biased Samples,"['Steffen Bickel', 'Tobias Scheffer']","['Max Planck Institute for Computer Science', 'Universität Potsdam']"
NeurIPS,2006,A selective attention multi--chip system with dynamic synapses and  spiking neurons,"['Chiara Bartolozzi', 'Giacomo Indiveri']","['None', 'ETH Zurich']"
NeurIPS,2006,Aggregating Classification Accuracy through Time - Classifying Single Trial EEG,"['Steven Lemm', 'Christin Schäfer', 'Gabriel Curio']","['Fraunhofer FIRST', 'None', 'None']"
